Date,PC1,PC2,PC3,PC4,PC5
2025-03-12,-1.0779127701247004,-0.3671934997845788,0.17292729226687567,0.2045769780738319,0.018763510260490977
2025-03-13,-1.4958647266959222,-0.4119002302299438,0.44623972571574877,-0.6668969611954358,-0.04976518559829912
2025-03-14,-1.6809036295605582,-0.38248004459532187,0.7523734496625657,0.4658184096729562,0.03259125180997004
2025-03-17,-1.4770167362437896,-0.984184876901175,0.23530114062164298,-0.156577827087395,-0.0953765908709006
2025-03-18,-1.3773108929586226,-2.2579639841694212,0.5650673730065753,0.13345260442904763,0.32287363769635846
2025-03-19,-0.8009991354530718,-1.6990971638881898,0.7168834981563788,0.37668120684074796,0.5456607078358856
2025-03-20,-1.9272501549031038,-0.7867482986479193,1.737707347199886,-0.4979056148122505,0.6351808145235439
2025-03-21,0.23280846255238763,-1.188681498765121,0.6469036485094317,1.0122358058072582,-0.4680751627996988
2025-03-24,1.7446547781387909,0.4875272577792879,-0.5416805017443699,1.6553972132767514,-0.2054821528255498
2025-03-25,-0.4179485418789007,2.624967441398283,-0.5226496624640214,0.3623715524118975,1.425776768952121
2025-03-26,-0.7860246172525535,1.810007557683725,-1.130235331774341,-0.1266160430309156,0.00365993437059009
2025-03-27,-1.2277369250530072,2.1185459707372436,-0.09576199185801486,-0.23234829274597016,-1.3545001172225628
2025-03-28,-1.7865225356533863,1.5976382188921938,-0.1625296888025527,-0.5750274376369634,-0.4063104530175783
2025-03-31,-0.00491357744700894,-0.5386722749263587,-0.15135713421839364,1.3475005548805485,-0.711813772986147
2025-04-01,-0.22285126132731112,0.7303615519738531,-0.4866902026937274,0.6828908294848838,0.3150640634376676
2025-04-02,3.593377417477581,1.0631015239318842,-0.4053725875198614,0.8013116329580091,0.12419451268622211
2025-04-03,-1.0839198088458009,1.2270534640235067,0.08042728367047874,0.12040253715393048,0.4769908539758603
2025-04-04,0.4075511302012831,-0.5805835040353626,-1.401754618717692,-1.0011120530886586,-0.48679757416133795
2025-04-07,1.9493049505120446,-1.8732068351531324,-0.04438510756640119,-0.47162161114659823,-1.037998156277432
2025-04-08,1.9133269210303878,-2.7576961246953364,-2.6042819796975163,-0.7937008549563361,0.8141404987634914
2025-04-09,5.968827542170885,0.9514548301424983,2.2605154494225257,-0.9353470955884392,0.23229002802630497
2025-04-10,-0.44267588868562696,1.2177505192293847,-0.06764740117521867,-1.7054855337008992,-0.1310674165789994
