Date,Open,High,Low,Close,Volume
2025-03-12,247.22000122070312,251.83999633789062,241.10000610351562,248.08999633789062,142215700
2025-03-13,248.1300048828125,248.2899932861328,232.60000610351562,240.67999267578125,114813500
2025-03-14,247.30999755859375,251.5800018310547,240.72999572753906,249.97999572753906,100242300
2025-03-17,245.05999755859375,245.39999389648438,232.8000030517578,238.00999450683594,111900600
2025-03-18,228.16000366210938,230.10000610351562,222.27999877929688,225.30999755859375,111477600
2025-03-19,231.61000061035156,241.41000366210938,229.1999969482422,235.86000061035156,111993800
2025-03-20,233.35000610351562,238.0,230.0500030517578,236.25999450683594,99028300
2025-03-21,234.99000549316406,249.52000427246094,234.5500030517578,248.7100067138672,132728700
2025-03-24,258.0799865722656,278.6400146484375,256.3299865722656,278.3900146484375,169079900
2025-03-25,283.6000061035156,288.20001220703125,271.2799987792969,288.1400146484375,150361500
2025-03-26,282.6600036621094,284.8999938964844,266.510009765625,272.05999755859375,153629800
2025-03-27,272.4800109863281,291.8500061035156,271.82000732421875,273.1300048828125,162572100
2025-03-28,275.5799865722656,276.1000061035156,260.57000732421875,263.54998779296875,123809400
2025-03-31,249.30999755859375,260.55999755859375,243.36000061035156,259.1600036621094,134008900
2025-04-01,263.79998779296875,277.45001220703125,259.25,268.4599914550781,146486900
2025-04-02,254.60000610351562,284.989990234375,251.27000427246094,282.760009765625,212787800
2025-04-03,265.2900085449219,276.29998779296875,261.510009765625,267.2799987792969,136174300
2025-04-04,255.3800048828125,261.0,236.0,239.42999267578125,181229400
2025-04-07,223.77999877929688,252.0,214.25,233.2899932861328,183453800
2025-04-08,245.0,250.44000244140625,217.8000030517578,221.86000061035156,171603500
2025-04-09,224.69000244140625,274.69000244140625,223.8800048828125,272.20001220703125,219433400
2025-04-10,260.0,262.489990234375,239.3300018310547,252.39999389648438,180875500
